eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.005,0.27898550724637683,0.26086956521739135,0.2717391304347826,0.2681159420289855
0.01,0.2717391304347826,0.26086956521739135,0.27898550724637683,0.2717391304347826
0.015,0.26086956521739135,0.26086956521739135,0.25724637681159424,0.2753623188405797
0.02,0.26449275362318836,0.2753623188405797,0.24637681159420288,0.2753623188405797
0.025,0.25724637681159424,0.26449275362318836,0.24637681159420288,0.27898550724637683
0.03,0.25724637681159424,0.26086956521739135,0.24275362318840576,0.2753623188405797
0.035,0.2536231884057971,0.25,0.25,0.27898550724637683
0.04,0.25724637681159424,0.24275362318840576,0.25,0.28623188405797106
0.045,0.25724637681159424,0.23913043478260865,0.25,0.28985507246376807
0.05,0.23913043478260865,0.25,0.2536231884057971,0.28623188405797106
0.055,0.24275362318840576,0.25724637681159424,0.26086956521739135,0.28985507246376807
0.06,0.25,0.25,0.26086956521739135,0.28623188405797106
0.065,0.23913043478260865,0.25,0.2717391304347826,0.2934782608695652
0.07,0.23913043478260865,0.25724637681159424,0.26449275362318836,0.3007246376811594
0.075,0.24637681159420288,0.2536231884057971,0.2753623188405797,0.30434782608695654
0.08,0.25,0.2536231884057971,0.26449275362318836,0.28985507246376807
0.085,0.26086956521739135,0.26086956521739135,0.2681159420289855,0.3007246376811594
0.09,0.25724637681159424,0.26449275362318836,0.2717391304347826,0.30797101449275366
0.095,0.25724637681159424,0.26449275362318836,0.2717391304347826,0.3152173913043478
0.1,0.26449275362318836,0.26449275362318836,0.26086956521739135,0.3115942028985508
